"token","address","balance"
"JEET/WETH","0x1773b49a964706d89e6867975717d76cc0926a75",7000000000000
"PETOSHI/WETH","0x8c625e28534270423d1f36045a94d3283e858c3f",384712950793.96796
"PETOSHI/WETH","0xba692ba42da4aa7fb3bbf92d802f558feda2b2b8",28085473835.52371
"PETOSHI/WETH","0x02077669a02dffcb6dc8cbaf11d6f2c18147fe3e",26637026212.51518
"PETOSHI/WETH","0x2ee5ab5a1784e9291e9e682d0cd38e3aeff829b5",21020027965.51538
"PETOSHI/WETH","0xd373e63f7ff48d25dbed5e6c9b244ef5e4c3681e",16999999830
"YUAN/WETH","0x1de0366b39286b10f7f3ab0ad0a1a97e880c1bd9",297346541.52839285
"YUAN/WETH","0xda2fbea2ceb7331e47eb3e2c95b502cbb4c18a36",37956143.757118285
"YUAN/WETH","0x5d87511979f30cfe235e4b98f21e8f19986727e8",31593337.312238358
"YUAN/WETH","0xeff0a18bdb37ec291ecc1649fb41cc8830a95a95",27191911.869394973
"YUAN/WETH","0xe54dd333caa6069ae3ab78b5e51920f2b4b68c75",26046328.77111572
"VC/WETH","0x9bdad8b3b7f9769dc77e3404a3882c7c33b540a1",6540444.92202352
"VC/WETH","0x6183b4ef92776a81d28794a61df8e1cef2f704b9",598639.48815523
"VC/WETH","0xfa599992e84ae9d327877cc51d78d442872b35cb",530241.25257858
"VC/WETH","0xb9e318945ce2bc1aa445b122198c5f921ba9ebcb",435194.86921885
"VC/WETH","0x050df330b16b5fba0b2f0792604b6b6f73cbed8c",407876.08381151
"BLOOD/WETH","0x03cb05f113eceb9deabfb1c77562bf52dc7507d3",277090.3935795263
"BLOOD/WETH","0x000000000000000000000000000000000000dead",88800.00000154138
"BLOOD/WETH","0xd36ba8ec3109198bb0e35e5b1d1fd733c6dbc8cf",62500
"BLOOD/WETH","0x212c016b4ea6ff020e24f260138e44acebfca1c1",39737.3334364135
"BLOOD/WETH","0x8ec3ab310701ad1053fcd45198a0813dc8ab54e6",37033.071315825924
"DOGTIC/WETH","0xc0c96fab7c39cf6129898778a9e06e5b1d03dade",19681779137.81842
"DOGTIC/WETH","0xe1d50fdf12f93e9bf5e38f1de45e2bc076914dc9",6900000000
"DOGTIC/WETH","0x7f3c07cd647b29dc4351c7e3c305fb0426fb543a",3622693803.0141935
"DOGTIC/WETH","0x5d87511979f30cfe235e4b98f21e8f19986727e8",2508528667.35511
"DOGTIC/WETH","0x49f7696d2f92bd3951db5dd9347f4cdb504a3bd3",2438624206.4734154
"G/WETH","0xd06986f901f3ae4cd967076ec2fef7c5e01b5cf7",377410022.0978476
"G/WETH","0xc943e1d783e1d31ab80973ca3741869e0d2429f3",19928412.519264024
"G/WETH","0x51618fa04642cdc27d218749f6267c2b77581e61",19507437.635518376
"G/WETH","0x2b09d7f0bbdaaa2eeceb8cb24f0d6692ee0ab9b6",19294634.70743418
"G/WETH","0xb9b84587eeb787cc621c518b0c24ca9b118be56d",19119426.619169883
"pPEPE/WETH","0x0d3a7914185de6850c120f3546c9371f86ed62b3",296065.832610127
"pPEPE/WETH","0xdba68f07d1b7ca219f78ae8582c213d975c25caf",50000
"pPEPE/WETH","0xcc82fcc2bbe7972bd28dfdb47f5563f6f4c7f632",37015.978414615
"pPEPE/WETH","0xe57d65a2443fc260eca07f85c1ce35c75829df81",27024.466765472
"pPEPE/WETH","0x839126d8b0ff719d5394fd288a55ab24b2a7baac",26229.301747108
"PIPI/WETH","0x0b8472f46040abe2679eb8ce9635ea4f90650f86",43977136.64527478
"PIPI/WETH","0x0eecd08e7da9b10d0d3acbae72ae8c2c0a76cd6e",2900674.271843291
"PIPI/WETH","0x653ab39baf156f92fb99d4d806a82df9cb5286b2",2711800
"PIPI/WETH","0xf16fbdf85dca3c6144349cc7463062e10549b906",2638095.1229238454
"PIPI/WETH","0x622def54e478f8b1ef78c2eb004b491110fc99e2",2551569.43173213
"BOYSC/WETH","0x38659b8b8d1df1a09cb3cbe69c2f7824bad95467",141690602988361.1
"BOYSC/WETH","0x8c96c095882d8432509857077a242fd74301f1e8",54689700000000
"BOYSC/WETH","0x5077779248de693603fbaf56320c59ca40c022d3",21034500000000
"BOYSC/WETH","0x449a7b14996dc7b26ebe7b1dcb50cdd406211247",6173018449028.384
"BOYSC/WETH","0x0427f706027c4a55e6326359df483bff71993fee",5673213386346.908
"MIRA/WETH","0xd993656bd75d018c606ae34a0fb67ea68939b58c",256266179.7884083
"MIRA/WETH","0x687d1ff1961a33129207b0bb013c71def815ec34",136730070.31356427
"MIRA/WETH","0x15cc196b376a6c7377e865862480a0e91f343b64",35485286.72121796
"MIRA/WETH","0xcf0d20701ad80e028fefb071d2e94590fa96d773",29363965.197532628
"MIRA/WETH","0xb0b0e4ceefde71209a113144b5924fae90f06798",25256919.874901198
"OLDS/WETH","0x3a75f38bac790b644816a9ada4b116e762cbfc7a",464897075.0043327
"OLDS/WETH","0x550a383187f9f32275ec8e646a3d253fb4bfbc1a",20000000
"OLDS/WETH","0x145e881bb4f39422d38fb2aa2e85b7b3129fff4d",20000000
"OLDS/WETH","0xcb1873a6c84232b7cdc95cc6a5b72e4997498d4f",19011562.660115708
"OLDS/WETH","0xdf31685465ddf564c111f3ddc3fc9043d9eb8552",18531139.27665587
"TATE/WETH","0xd7452bbc6d5acdbd53d544ab4bf84a8dc5aa1b8e",18858183230659.137
"TATE/WETH","0x9ebbc7aa4352f8ca33816a7834ce365dc9ec2b56",9990000000000
"TATE/WETH","0xac22db85add14ea1a02f69531bb577685708e3fb",8352850396998.989
"TATE/WETH","0xd767606ee805fb6847739d5509a7534a23dcd25d",4607783546947.977
"TATE/WETH","0x4c60cc45dc1aa2aee1f80859388d18955f638ca2",3326868307182.6147
"PHUB/WETH","0x82311699a0a424c9a566e111ffcb47e696a23086",23908141416211.48
"PHUB/WETH","0x72b48b743b189a0d1937485b6ef82efd7a000907",9586237019493.678
"PHUB/WETH","0x2696ea74909fa2561d1628896cb041b43d91e173",8427155666419.47
"PHUB/WETH","0x3619eccd54132bb19e8c7a743bb127a80e2621da",7883820348694.313
"PHUB/WETH","0xfd69e55acead1599c07d12dde7ed60a0a9a3df80",6404638306478.797
"MCD/WETH","0x8b19372671996f4cf362edb8f35157f2a2d04b86",13787833836.495785
"MCD/WETH","0x4485d0ff9500efd5fad82a8e80693defa3592582",2192483559.276413
"MCD/WETH","0xa6c88571d0028f47adba983a7240bf12af94633e",2028623871.7614696
"MCD/WETH","0x3da406dd5a2c8201658d0fe66d3b46ab4a0a9c7b",1888904956.2236357
"MCD/WETH","0x2defdd9a85e630fc311719b11d7dcb7ecef423be",1807492866.1
"FX1/WETH","0x87b958067fd665f3937de4439450b4950eb68e15",106264956.88886596
"FX1/WETH","0xd015a304d44041d25d10486e64330e7888fb6647",25000000
"FX1/WETH","0xa39dc746652a0731da7ff1f4ad6385caf8a95e29",12500000
"FX1/WETH","0xa1efaefab439284dd76e4fc6a5525f6d1400d27f",2472594.31013874
"FX1/WETH","0x3d5e8bf220c567f151a0285c35be0a72923bc4a7",2384000
